ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315503.461,02_tf32_bs1,0,0,,11.32,2411,46
1783315503.666,02_tf32_bs1,0,0,,11.44,2418,46
1783315503.866,02_tf32_bs1,0,0,,11.44,2418,46
1783315504.067,02_tf32_bs1,0,0,,11.44,2418,46
1783315504.267,02_tf32_bs1,0,0,,11.374,2411,46
1783315504.468,02_tf32_bs1,0,0,,11.374,2411,46
1783315504.668,02_tf32_bs1,0,0,,11.089,2411,46
1783315504.870,02_tf32_bs1,0,0,,11.089,2411,46
1783315505.070,02_tf32_bs1,0,0,,11.089,2411,46
1783315505.271,02_tf32_bs1,0,0,,11.024,2411,46
1783315505.471,02_tf32_bs1,0,0,,11.024,2411,46
1783315505.671,02_tf32_bs1,0,0,,11.03,2411,45
1783315505.872,02_tf32_bs1,0,0,,11.03,2411,45
1783315506.072,02_tf32_bs1,0,0,,11.03,2411,45
1783315506.273,02_tf32_bs1,0,0,,11.05,2411,45
1783315506.474,02_tf32_bs1,0,0,,11.05,2411,45
1783315506.674,02_tf32_bs1,0,0,,11.038,2411,45
1783315506.875,02_tf32_bs1,0,0,,11.038,2411,45
1783315507.076,02_tf32_bs1,0,0,,11.038,2411,45
1783315507.276,02_tf32_bs1,0,0,,16.254,2457,47
1783315507.477,02_tf32_bs1,0,0,,16.254,2457,47
1783315507.678,02_tf32_bs1,47,0,,26.906,2515,48
1783315507.878,02_tf32_bs1,47,0,,26.906,2515,48
1783315508.079,02_tf32_bs1,47,0,,26.906,2515,48
1783315508.280,02_tf32_bs1,47,0,,36.058,2489,49
1783315508.481,02_tf32_bs1,47,0,,36.058,2489,49
1783315508.682,02_tf32_bs1,96,0,,40.732,2515,49
1783315508.887,02_tf32_bs1,96,0,,40.732,2515,49
1783315509.088,02_tf32_bs1,96,0,,40.732,2515,49
1783315509.289,02_tf32_bs1,96,0,,41.452,2515,49
1783315509.490,02_tf32_bs1,96,0,,41.452,2515,49
1783315509.691,02_tf32_bs1,96,0,,41.524,2515,50
1783315509.891,02_tf32_bs1,96,0,,41.524,2515,50
1783315510.092,02_tf32_bs1,96,0,,41.524,2515,50
1783315510.293,02_tf32_bs1,96,0,,41.825,2515,50
1783315510.493,02_tf32_bs1,96,0,,41.825,2515,50
1783315510.693,02_tf32_bs1,96,0,,41.883,2515,50
1783315510.898,02_tf32_bs1,96,0,,41.883,2515,50
1783315511.098,02_tf32_bs1,96,0,,41.883,2515,50
1783315511.299,02_tf32_bs1,96,0,,41.901,2515,50
1783315511.500,02_tf32_bs1,96,0,,41.901,2515,50
1783315511.701,02_tf32_bs1,96,0,,41.642,2515,51
1783315511.901,02_tf32_bs1,96,0,,41.642,2515,51
1783315512.101,02_tf32_bs1,96,0,,41.642,2515,51
1783315512.302,02_tf32_bs1,96,0,,41.654,2509,51
1783315512.503,02_tf32_bs1,96,0,,41.654,2509,51
1783315512.703,02_tf32_bs1,95,0,,41.627,2509,51
1783315512.914,02_tf32_bs1,95,0,,41.627,2509,51
1783315513.115,02_tf32_bs1,95,0,,41.627,2509,51
1783315513.316,02_tf32_bs1,95,0,,41.635,2509,51
1783315513.517,02_tf32_bs1,95,0,,41.635,2509,51
1783315513.718,02_tf32_bs1,95,0,,41.945,2509,52
1783315513.918,02_tf32_bs1,95,0,,41.945,2509,52
1783315514.119,02_tf32_bs1,95,0,,41.945,2509,52
1783315514.319,02_tf32_bs1,95,0,,41.938,2502,51
1783315514.521,02_tf32_bs1,95,0,,41.938,2502,51
1783315514.721,02_tf32_bs1,95,0,,41.931,2502,52
1783315514.934,02_tf32_bs1,95,0,,41.931,2502,52
1783315515.135,02_tf32_bs1,95,0,,41.683,2502,51
1783315515.364,02_tf32_bs1,95,0,,41.683,2502,52
1783315515.573,02_tf32_bs1,95,0,,41.683,2502,52
1783315515.774,02_tf32_bs1,95,0,,41.967,2502,53
1783315515.974,02_tf32_bs1,95,0,,41.967,2502,53
1783315516.175,02_tf32_bs1,95,0,,41.665,2502,53
1783315516.376,02_tf32_bs1,95,0,,41.665,2502,53
1783315516.577,02_tf32_bs1,95,0,,41.665,2502,53
