ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315566.448,04_bf16_bs8,0,0,,11.271,2411,46
1783315566.653,04_bf16_bs8,0,0,,11.271,2411,46
1783315566.853,04_bf16_bs8,0,0,,11.465,2424,46
1783315567.054,04_bf16_bs8,0,0,,11.465,2424,46
1783315567.255,04_bf16_bs8,0,0,,11.383,2411,46
1783315567.455,04_bf16_bs8,0,0,,11.383,2411,46
1783315567.655,04_bf16_bs8,0,0,,11.383,2411,46
1783315567.856,04_bf16_bs8,0,0,,11.093,2411,46
1783315568.056,04_bf16_bs8,0,0,,11.093,2411,46
1783315568.256,04_bf16_bs8,0,0,,11.031,2411,46
1783315568.457,04_bf16_bs8,0,0,,11.031,2411,46
1783315568.657,04_bf16_bs8,0,0,,11.031,2411,46
1783315568.857,04_bf16_bs8,0,0,,10.968,2411,46
1783315569.058,04_bf16_bs8,0,0,,10.968,2411,46
1783315569.258,04_bf16_bs8,0,0,,10.925,2411,46
1783315569.458,04_bf16_bs8,0,0,,10.925,2411,46
1783315569.659,04_bf16_bs8,0,0,,10.925,2411,46
1783315569.859,04_bf16_bs8,1,0,,11.076,2418,46
1783315570.059,04_bf16_bs8,1,0,,11.076,2418,46
1783315570.260,04_bf16_bs8,1,0,,16.933,2496,49
1783315570.460,04_bf16_bs8,1,0,,16.933,2496,49
1783315570.662,04_bf16_bs8,1,0,,26.032,2489,57
1783315570.973,04_bf16_bs8,28,0,,26.032,2489,57
1783315571.185,04_bf16_bs8,28,0,,22.943,2457,48
1783315571.562,04_bf16_bs8,28,0,,22.943,2457,48
1783315571.763,04_bf16_bs8,89,0,,26.967,2502,53
1783315571.965,04_bf16_bs8,89,0,,26.967,2502,53
1783315572.165,04_bf16_bs8,89,0,,26.967,2502,53
1783315572.366,04_bf16_bs8,89,0,,41.497,2509,50
1783315572.567,04_bf16_bs8,89,0,,44.457,2502,53
1783315572.997,04_bf16_bs8,96,0,,44.457,2502,53
1783315573.198,04_bf16_bs8,96,0,,44.457,2502,53
1783315573.399,04_bf16_bs8,96,0,,38.18,2528,52
1783315573.600,04_bf16_bs8,96,0,,38.18,2528,52
1783315573.800,04_bf16_bs8,96,0,,41.825,2502,55
1783315574.001,04_bf16_bs8,96,0,,41.825,2502,55
1783315574.202,04_bf16_bs8,96,0,,41.825,2502,55
1783315574.403,04_bf16_bs8,96,0,,47.277,2515,55
1783315574.604,04_bf16_bs8,96,0,,47.277,2515,55
1783315574.804,04_bf16_bs8,96,0,,41.046,2528,53
1783315575.005,04_bf16_bs8,96,0,,41.046,2528,53
1783315575.206,04_bf16_bs8,96,0,,41.046,2528,53
1783315575.407,04_bf16_bs8,96,0,,44.425,2502,55
1783315575.608,04_bf16_bs8,96,0,,44.425,2502,55
1783315575.809,04_bf16_bs8,96,0,,46.889,2509,55
1783315576.010,04_bf16_bs8,96,0,,46.889,2509,55
1783315576.211,04_bf16_bs8,96,0,,46.889,2509,55
1783315576.411,04_bf16_bs8,96,0,,41.389,2528,54
1783315576.612,04_bf16_bs8,96,0,,41.389,2528,54
1783315576.813,04_bf16_bs8,96,0,,45.336,2502,55
1783315577.014,04_bf16_bs8,96,0,,45.336,2502,55
1783315577.214,04_bf16_bs8,96,0,,45.336,2502,55
1783315577.415,04_bf16_bs8,96,0,,47.253,2509,56
1783315577.616,04_bf16_bs8,96,0,,47.253,2509,56
1783315577.816,04_bf16_bs8,96,0,,41.983,2528,60
1783315578.018,04_bf16_bs8,96,0,,41.983,2528,60
1783315578.219,04_bf16_bs8,96,0,,41.983,2528,60
1783315578.419,04_bf16_bs8,96,0,,46.156,2502,56
1783315578.620,04_bf16_bs8,96,0,,46.156,2502,56
1783315578.821,04_bf16_bs8,96,0,,47.57,2509,57
1783315579.022,04_bf16_bs8,96,0,,47.57,2509,57
1783315579.223,04_bf16_bs8,96,0,,47.57,2509,57
1783315579.424,04_bf16_bs8,96,0,,41.164,2522,58
1783315579.624,04_bf16_bs8,96,0,,41.164,2522,58
1783315579.825,04_bf16_bs8,96,0,,44.416,2502,56
1783315580.034,04_bf16_bs8,96,0,,44.416,2502,56
1783315580.236,04_bf16_bs8,96,0,,44.416,2502,56
1783315580.437,04_bf16_bs8,96,0,,48.62,2509,57
1783315580.638,04_bf16_bs8,96,0,,48.62,2509,57
1783315580.839,04_bf16_bs8,96,0,,45.29,2509,57
1783315581.040,04_bf16_bs8,96,0,,45.29,2509,57
1783315581.241,04_bf16_bs8,96,0,,45.29,2509,57
1783315581.442,04_bf16_bs8,96,0,,44.95,2502,53
1783315581.643,04_bf16_bs8,96,0,,44.95,2502,53
1783315581.844,04_bf16_bs8,96,0,,46.287,2496,54
1783315582.044,04_bf16_bs8,96,0,,46.287,2496,54
1783315582.245,04_bf16_bs8,96,0,,46.287,2496,54
1783315582.446,04_bf16_bs8,96,0,,48.926,2496,59
1783315582.647,04_bf16_bs8,96,0,,48.926,2496,59
1783315582.848,04_bf16_bs8,94,0,,47.219,2509,53
1783315583.049,04_bf16_bs8,94,0,,47.219,2509,53
1783315583.251,04_bf16_bs8,94,0,,45.778,2502,53
1783315583.452,04_bf16_bs8,94,0,,45.778,2502,53
1783315583.653,04_bf16_bs8,94,0,,45.778,2502,53
1783315583.854,04_bf16_bs8,96,0,,50.561,2502,58
1783315584.055,04_bf16_bs8,96,0,,50.561,2502,58
1783315584.256,04_bf16_bs8,96,0,,49.104,2502,58
1783315584.456,04_bf16_bs8,96,0,,49.104,2502,58
1783315584.657,04_bf16_bs8,96,0,,49.104,2502,58
1783315584.858,04_bf16_bs8,96,0,,45.693,2502,58
1783315585.058,04_bf16_bs8,96,0,,45.693,2502,58
1783315585.258,04_bf16_bs8,96,0,,47.681,2502,58
1783315585.459,04_bf16_bs8,96,0,,47.681,2502,58
1783315585.660,04_bf16_bs8,96,0,,47.681,2502,58
1783315585.861,04_bf16_bs8,96,0,,47.492,2496,58
1783315586.061,04_bf16_bs8,96,0,,47.492,2496,58
1783315586.262,04_bf16_bs8,96,0,,47.62,2496,58
1783315586.463,04_bf16_bs8,96,0,,47.62,2496,58
1783315586.664,04_bf16_bs8,96,0,,47.62,2496,58
1783315586.865,04_bf16_bs8,96,0,,46.078,2502,54
1783315587.066,04_bf16_bs8,96,0,,46.078,2502,54
1783315587.267,04_bf16_bs8,96,0,,43.758,2496,54
1783315587.468,04_bf16_bs8,96,0,,43.758,2496,54
1783315587.669,04_bf16_bs8,96,0,,43.758,2496,54
1783315587.870,04_bf16_bs8,96,0,,50.738,2502,60
1783315588.070,04_bf16_bs8,96,0,,50.738,2502,60
1783315588.271,04_bf16_bs8,96,0,,49.897,2509,58
1783315588.471,04_bf16_bs8,96,0,,49.897,2509,58
1783315588.671,04_bf16_bs8,96,0,,49.897,2509,58
1783315588.872,04_bf16_bs8,96,0,,45.868,2509,64
1783315589.073,04_bf16_bs8,96,0,,45.868,2509,64
1783315589.274,04_bf16_bs8,96,0,,49.529,2502,60
1783315589.475,04_bf16_bs8,96,0,,49.529,2502,60
1783315589.677,04_bf16_bs8,96,0,,49.529,2502,60
1783315589.878,04_bf16_bs8,96,0,,49.418,2496,59
1783315590.079,04_bf16_bs8,96,0,,49.418,2496,59
1783315590.280,04_bf16_bs8,96,0,,46.48,2502,59
1783315590.481,04_bf16_bs8,96,0,,46.48,2502,59
1783315590.682,04_bf16_bs8,96,0,,46.48,2502,59
1783315590.883,04_bf16_bs8,96,0,,44.869,2502,55
1783315591.085,04_bf16_bs8,96,0,,44.869,2502,55
1783315591.286,04_bf16_bs8,96,0,,45.746,2496,55
1783315591.487,04_bf16_bs8,96,0,,45.746,2496,55
1783315591.687,04_bf16_bs8,96,0,,45.746,2496,55
1783315591.888,04_bf16_bs8,96,0,,49.944,2496,58
1783315592.089,04_bf16_bs8,96,0,,49.944,2496,58
1783315592.290,04_bf16_bs8,96,0,,48.37,2509,59
1783315592.492,04_bf16_bs8,96,0,,48.37,2509,59
1783315592.693,04_bf16_bs8,96,0,,48.37,2509,59
1783315592.893,04_bf16_bs8,96,0,,46.393,2502,55
1783315593.095,04_bf16_bs8,96,0,,46.393,2502,55
1783315593.296,04_bf16_bs8,96,0,,51.118,2496,59
1783315593.497,04_bf16_bs8,96,0,,51.118,2496,59
1783315593.698,04_bf16_bs8,96,0,,51.118,2496,59
1783315593.899,04_bf16_bs8,96,0,,49.802,2502,60
1783315594.100,04_bf16_bs8,96,0,,49.802,2502,60
1783315594.302,04_bf16_bs8,96,0,,46.066,2502,60
1783315594.503,04_bf16_bs8,96,0,,46.066,2502,60
1783315594.704,04_bf16_bs8,96,0,,46.066,2502,60
1783315594.905,04_bf16_bs8,96,0,,46.535,2496,56
1783315595.105,04_bf16_bs8,96,0,,46.535,2496,56
1783315595.306,04_bf16_bs8,96,0,,46.754,2496,56
1783315595.507,04_bf16_bs8,96,0,,46.754,2496,56
1783315595.708,04_bf16_bs8,96,0,,46.754,2496,56
1783315595.909,04_bf16_bs8,96,0,,48.617,2489,60
1783315596.110,04_bf16_bs8,96,0,,48.617,2489,60
1783315596.311,04_bf16_bs8,96,0,,46.818,2509,60
1783315596.512,04_bf16_bs8,96,0,,46.818,2509,60
1783315596.713,04_bf16_bs8,96,0,,46.818,2509,60
1783315596.914,04_bf16_bs8,96,0,,44.913,2502,66
1783315597.114,04_bf16_bs8,96,0,,44.913,2502,66
1783315597.315,04_bf16_bs8,96,0,,50.97,2496,60
1783315597.516,04_bf16_bs8,96,0,,50.97,2496,60
1783315597.717,04_bf16_bs8,96,0,,50.97,2496,60
1783315597.918,04_bf16_bs8,96,0,,50.413,2509,61
1783315598.119,04_bf16_bs8,96,0,,50.413,2509,61
1783315598.319,04_bf16_bs8,96,0,,46.743,2509,61
1783315598.520,04_bf16_bs8,96,0,,46.743,2509,61
1783315598.721,04_bf16_bs8,96,0,,46.743,2509,61
1783315598.922,04_bf16_bs8,96,0,,48.42,2496,57
1783315599.123,04_bf16_bs8,96,0,,48.42,2496,57
1783315599.325,04_bf16_bs8,96,0,,48.076,2496,57
1783315599.526,04_bf16_bs8,96,0,,48.076,2496,57
1783315599.727,04_bf16_bs8,96,0,,48.076,2496,57
1783315599.928,04_bf16_bs8,96,0,,47.925,2489,63
1783315600.129,04_bf16_bs8,96,0,,47.925,2489,63
1783315600.331,04_bf16_bs8,96,0,,45.725,2502,60
1783315600.532,04_bf16_bs8,96,0,,45.725,2502,60
1783315600.733,04_bf16_bs8,96,0,,45.725,2502,60
1783315600.935,04_bf16_bs8,96,0,,44.647,2496,56
1783315601.136,04_bf16_bs8,96,0,,44.647,2496,56
1783315601.337,04_bf16_bs8,96,0,,51.175,2496,61
1783315601.538,04_bf16_bs8,96,0,,51.175,2496,61
1783315601.739,04_bf16_bs8,96,0,,51.175,2496,61
1783315601.940,04_bf16_bs8,96,0,,50.592,2509,61
1783315602.142,04_bf16_bs8,96,0,,50.592,2509,61
1783315602.343,04_bf16_bs8,96,0,,46.7,2509,61
1783315602.544,04_bf16_bs8,96,0,,46.7,2509,61
1783315602.745,04_bf16_bs8,96,0,,46.7,2509,61
1783315602.946,04_bf16_bs8,96,0,,50.38,2496,60
1783315603.147,04_bf16_bs8,96,0,,50.38,2496,60
1783315603.348,04_bf16_bs8,96,0,,50.002,2502,61
1783315603.548,04_bf16_bs8,96,0,,50.002,2502,61
1783315603.750,04_bf16_bs8,96,0,,50.002,2502,61
1783315603.951,04_bf16_bs8,96,0,,46.359,2496,60
1783315604.152,04_bf16_bs8,96,0,,46.359,2496,60
1783315604.355,04_bf16_bs8,96,0,,45.232,2496,57
1783315604.556,04_bf16_bs8,96,0,,45.232,2496,57
1783315604.756,04_bf16_bs8,96,0,,45.232,2496,57
1783315604.957,04_bf16_bs8,96,0,,46.305,2483,57
1783315605.158,04_bf16_bs8,96,0,,46.305,2483,57
1783315605.359,04_bf16_bs8,96,0,,49.959,2483,62
1783315605.560,04_bf16_bs8,96,0,,49.959,2483,62
1783315605.762,04_bf16_bs8,96,0,,49.959,2483,62
1783315605.963,04_bf16_bs8,96,0,,48.306,2502,62
1783315606.164,04_bf16_bs8,96,0,,48.306,2502,62
1783315606.365,04_bf16_bs8,96,0,,46.521,2496,65
1783315606.566,04_bf16_bs8,96,0,,46.521,2496,65
1783315606.767,04_bf16_bs8,96,0,,46.521,2496,65
1783315606.968,04_bf16_bs8,96,0,,51.163,2489,63
1783315607.169,04_bf16_bs8,96,0,,51.163,2489,63
1783315607.370,04_bf16_bs8,96,0,,49.239,2502,63
1783315607.571,04_bf16_bs8,96,0,,49.239,2502,63
1783315607.771,04_bf16_bs8,96,0,,49.239,2502,63
1783315607.972,04_bf16_bs8,96,0,,46.356,2502,62
1783315608.174,04_bf16_bs8,96,0,,46.356,2502,62
1783315608.375,04_bf16_bs8,96,0,,48.149,2496,58
1783315608.576,04_bf16_bs8,96,0,,48.149,2496,58
1783315608.777,04_bf16_bs8,96,0,,48.172,2483,58
1783315608.977,04_bf16_bs8,96,0,,48.172,2483,58
1783315609.179,04_bf16_bs8,96,0,,48.172,2483,58
1783315609.379,04_bf16_bs8,96,0,,48.306,2483,62
1783315609.581,04_bf16_bs8,96,0,,48.306,2483,62
1783315609.782,04_bf16_bs8,96,0,,48.306,2483,62
1783315609.983,04_bf16_bs8,94,0,,46.304,2496,61
1783315610.184,04_bf16_bs8,94,0,,46.304,2496,61
1783315610.385,04_bf16_bs8,94,0,,44.576,2496,58
1783315610.586,04_bf16_bs8,94,0,,44.576,2496,58
1783315610.787,04_bf16_bs8,96,0,,51.424,2483,62
1783315610.989,04_bf16_bs8,96,0,,51.424,2483,62
1783315611.190,04_bf16_bs8,96,0,,51.424,2483,62
1783315611.391,04_bf16_bs8,96,0,,50.608,2502,63
1783315611.596,04_bf16_bs8,96,0,,50.608,2502,63
1783315611.797,04_bf16_bs8,96,0,,46.418,2509,62
1783315611.998,04_bf16_bs8,96,0,,46.418,2509,62
1783315612.199,04_bf16_bs8,96,0,,46.418,2509,62
1783315612.401,04_bf16_bs8,96,0,,49.63,2489,61
1783315612.602,04_bf16_bs8,96,0,,49.63,2489,61
1783315612.803,04_bf16_bs8,96,0,,49.63,2489,61
1783315613.004,04_bf16_bs8,96,0,,48.977,2489,61
1783315613.205,04_bf16_bs8,96,0,,48.977,2489,61
1783315613.406,04_bf16_bs8,96,0,,47.793,2496,62
1783315613.608,04_bf16_bs8,96,0,,47.793,2496,62
1783315613.809,04_bf16_bs8,96,0,,47.793,2496,62
1783315614.010,04_bf16_bs8,96,0,,45.649,2483,58
1783315614.211,04_bf16_bs8,96,0,,45.649,2483,58
1783315614.412,04_bf16_bs8,96,0,,44.971,2470,58
1783315614.612,04_bf16_bs8,96,0,,44.971,2470,58
1783315614.813,04_bf16_bs8,96,0,,44.971,2470,58
1783315615.014,04_bf16_bs8,96,0,,51.593,2476,64
1783315615.215,04_bf16_bs8,96,0,,51.593,2476,64
1783315615.415,04_bf16_bs8,96,0,,49.862,2496,63
1783315615.616,04_bf16_bs8,96,0,,49.862,2496,63
1783315615.817,04_bf16_bs8,96,0,,49.862,2496,63
1783315616.018,04_bf16_bs8,96,0,,46.69,2496,66
1783315616.218,04_bf16_bs8,96,0,,46.69,2496,66
1783315616.420,04_bf16_bs8,96,0,,50.742,2483,64
1783315616.622,04_bf16_bs8,96,0,,50.742,2483,64
1783315616.822,04_bf16_bs8,96,0,,50.742,2483,64
1783315617.023,04_bf16_bs8,0,0,,35.907,2470,56
1783315617.224,04_bf16_bs8,0,0,,35.907,2470,56
1783315617.426,04_bf16_bs8,0,0,,15.607,2411,55
1783315617.627,04_bf16_bs8,0,0,,15.607,2411,55
1783315617.828,04_bf16_bs8,0,0,,12.208,2411,55
1783315618.029,04_bf16_bs8,0,0,,12.208,2411,55
1783315618.229,04_bf16_bs8,0,0,,12.208,2411,55
1783315618.430,04_bf16_bs8,0,0,,12.25,2411,54
1783315618.631,04_bf16_bs8,0,0,,12.25,2411,54
1783315618.832,04_bf16_bs8,0,0,,12.258,2411,54
1783315619.032,04_bf16_bs8,0,0,,12.258,2411,54
1783315619.233,04_bf16_bs8,0,0,,12.258,2411,54
1783315619.433,04_bf16_bs8,0,0,,12.191,2411,54
