ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315630.565,05_bf16_bs8_ga4,0,0,,11.768,2411,51
1783315630.769,05_bf16_bs8_ga4,0,0,,11.768,2411,51
1783315630.970,05_bf16_bs8_ga4,0,0,,11.862,2431,51
1783315631.170,05_bf16_bs8_ga4,0,0,,11.862,2431,51
1783315631.371,05_bf16_bs8_ga4,0,0,,11.784,2411,51
1783315631.572,05_bf16_bs8_ga4,0,0,,11.784,2411,51
1783315631.772,05_bf16_bs8_ga4,0,0,,11.784,2411,51
1783315631.972,05_bf16_bs8_ga4,0,0,,11.53,2411,51
1783315632.173,05_bf16_bs8_ga4,0,0,,11.53,2411,51
1783315632.374,05_bf16_bs8_ga4,0,0,,11.522,2411,51
1783315632.575,05_bf16_bs8_ga4,0,0,,11.522,2411,51
1783315632.775,05_bf16_bs8_ga4,0,0,,11.522,2411,51
1783315632.975,05_bf16_bs8_ga4,0,0,,11.517,2411,51
1783315633.176,05_bf16_bs8_ga4,0,0,,11.517,2411,51
1783315633.377,05_bf16_bs8_ga4,0,0,,11.485,2411,51
1783315633.578,05_bf16_bs8_ga4,0,0,,11.485,2411,51
1783315633.778,05_bf16_bs8_ga4,0,0,,11.485,2411,51
1783315633.979,05_bf16_bs8_ga4,0,0,,11.631,2418,50
1783315634.179,05_bf16_bs8_ga4,0,0,,11.631,2418,50
1783315634.381,05_bf16_bs8_ga4,0,0,,17.21,2450,53
1783315634.582,05_bf16_bs8_ga4,0,0,,17.21,2450,53
1783315634.783,05_bf16_bs8_ga4,0,0,,17.21,2450,53
1783315634.983,05_bf16_bs8_ga4,19,0,,26.757,2483,51
1783315635.299,05_bf16_bs8_ga4,19,0,,24.279,2431,53
1783315635.588,05_bf16_bs8_ga4,19,0,,24.279,2431,53
1783315635.790,05_bf16_bs8_ga4,19,0,,24.279,2431,53
1783315635.990,05_bf16_bs8_ga4,96,0,,30.626,2496,58
1783315636.191,05_bf16_bs8_ga4,96,0,,30.626,2496,58
1783315636.392,05_bf16_bs8_ga4,96,0,,48.419,2502,59
1783315636.594,05_bf16_bs8_ga4,96,0,,48.419,2502,59
1783315636.795,05_bf16_bs8_ga4,96,0,,48.419,2502,59
1783315636.997,05_bf16_bs8_ga4,96,0,,50.771,2502,63
1783315637.197,05_bf16_bs8_ga4,96,0,,50.771,2502,63
1783315637.398,05_bf16_bs8_ga4,96,0,,50.116,2502,58
1783315637.599,05_bf16_bs8_ga4,96,0,,50.116,2502,58
1783315637.800,05_bf16_bs8_ga4,96,0,,50.116,2502,58
1783315638.001,05_bf16_bs8_ga4,96,0,,49.343,2489,55
1783315638.202,05_bf16_bs8_ga4,96,0,,49.343,2489,55
1783315638.403,05_bf16_bs8_ga4,96,0,,50.375,2489,59
1783315638.604,05_bf16_bs8_ga4,96,0,,50.375,2489,59
1783315638.805,05_bf16_bs8_ga4,96,0,,50.375,2489,59
1783315639.006,05_bf16_bs8_ga4,96,0,,54.478,2496,60
1783315639.206,05_bf16_bs8_ga4,96,0,,54.478,2496,60
