ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315713.860,06_bf16_bs8_ckpt,0,0,,12.526,2411,55
1783315714.065,06_bf16_bs8_ckpt,21,0,,12.578,2424,55
1783315714.266,06_bf16_bs8_ckpt,21,0,,12.578,2424,55
1783315714.466,06_bf16_bs8_ckpt,21,0,,12.405,2411,55
1783315714.668,06_bf16_bs8_ckpt,21,0,,12.405,2411,55
1783315714.868,06_bf16_bs8_ckpt,21,0,,12.405,2411,55
1783315715.069,06_bf16_bs8_ckpt,0,0,,12.159,2411,55
1783315715.270,06_bf16_bs8_ckpt,0,0,,12.159,2411,55
1783315715.471,06_bf16_bs8_ckpt,0,0,,12.177,2411,55
1783315715.671,06_bf16_bs8_ckpt,0,0,,12.177,2411,55
1783315715.872,06_bf16_bs8_ckpt,0,0,,12.177,2411,55
1783315716.073,06_bf16_bs8_ckpt,0,0,,12.16,2411,54
1783315716.274,06_bf16_bs8_ckpt,0,0,,12.16,2411,54
1783315716.475,06_bf16_bs8_ckpt,0,0,,12.136,2411,54
1783315716.676,06_bf16_bs8_ckpt,0,0,,12.136,2411,54
1783315716.877,06_bf16_bs8_ckpt,0,0,,12.136,2411,54
1783315717.077,06_bf16_bs8_ckpt,0,0,,12.132,2411,54
1783315717.278,06_bf16_bs8_ckpt,0,0,,12.132,2411,54
1783315717.479,06_bf16_bs8_ckpt,0,0,,12.841,2418,54
1783315717.680,06_bf16_bs8_ckpt,0,0,,12.841,2418,54
1783315717.881,06_bf16_bs8_ckpt,0,0,,12.841,2418,54
1783315718.083,06_bf16_bs8_ckpt,39,0,,22.514,2489,57
1783315718.285,06_bf16_bs8_ckpt,39,0,,22.514,2489,57
1783315718.563,06_bf16_bs8_ckpt,39,0,,29.855,2424,55
1783315718.763,06_bf16_bs8_ckpt,39,0,,29.855,2424,55
1783315719.008,06_bf16_bs8_ckpt,35,0,,23.408,2457,56
1783315719.209,06_bf16_bs8_ckpt,35,0,,23.408,2457,56
1783315719.411,06_bf16_bs8_ckpt,35,0,,23.408,2457,56
1783315719.612,06_bf16_bs8_ckpt,35,0,,38.453,2483,62
1783315719.812,06_bf16_bs8_ckpt,35,0,,38.453,2483,62
1783315720.013,06_bf16_bs8_ckpt,86,0,,49.647,2502,57
1783315720.448,06_bf16_bs8_ckpt,86,0,,44.047,2476,58
1783315720.649,06_bf16_bs8_ckpt,86,0,,44.047,2476,58
1783315720.850,06_bf16_bs8_ckpt,86,0,,44.047,2476,58
1783315721.051,06_bf16_bs8_ckpt,96,0,,51.106,2476,63
1783315721.253,06_bf16_bs8_ckpt,96,0,,51.106,2476,63
1783315721.454,06_bf16_bs8_ckpt,96,0,,50.409,2502,58
1783315721.654,06_bf16_bs8_ckpt,96,0,,50.409,2502,58
1783315721.854,06_bf16_bs8_ckpt,96,0,,50.409,2502,58
1783315722.055,06_bf16_bs8_ckpt,96,0,,46.571,2489,58
1783315722.256,06_bf16_bs8_ckpt,96,0,,46.571,2489,58
1783315722.456,06_bf16_bs8_ckpt,96,0,,53.699,2476,64
1783315722.656,06_bf16_bs8_ckpt,96,0,,53.699,2476,64
1783315722.857,06_bf16_bs8_ckpt,96,0,,53.699,2476,64
1783315723.058,06_bf16_bs8_ckpt,91,0,,53.016,2502,63
1783315723.259,06_bf16_bs8_ckpt,91,0,,53.016,2502,63
1783315723.460,06_bf16_bs8_ckpt,91,0,,47.795,2502,59
