ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315853.199,08_ddp2_bf16_bs4,27,0,,14.083,2424,55
1783315853.404,08_ddp2_bf16_bs4,27,0,,14.083,2424,55
1783315853.605,08_ddp2_bf16_bs4,27,0,,13.477,2411,54
1783315853.806,08_ddp2_bf16_bs4,27,0,,13.477,2411,54
1783315854.006,08_ddp2_bf16_bs4,27,0,,13.477,2411,54
1783315854.206,08_ddp2_bf16_bs4,0,0,,12.345,2411,54
1783315854.407,08_ddp2_bf16_bs4,0,0,,12.345,2411,54
1783315854.608,08_ddp2_bf16_bs4,0,0,,12.234,2411,54
1783315854.809,08_ddp2_bf16_bs4,0,0,,12.234,2411,54
1783315855.009,08_ddp2_bf16_bs4,0,0,,12.234,2411,54
1783315855.210,08_ddp2_bf16_bs4,0,0,,12.22,2411,54
1783315855.410,08_ddp2_bf16_bs4,0,0,,12.22,2411,54
1783315855.610,08_ddp2_bf16_bs4,0,0,,12.126,2411,54
1783315855.811,08_ddp2_bf16_bs4,0,0,,12.126,2411,54
1783315856.012,08_ddp2_bf16_bs4,0,0,,12.126,2411,54
1783315856.212,08_ddp2_bf16_bs4,0,0,,12.071,2411,53
1783315856.415,08_ddp2_bf16_bs4,0,0,,12.071,2411,53
1783315856.615,08_ddp2_bf16_bs4,0,0,,12.326,2418,53
1783315856.816,08_ddp2_bf16_bs4,0,0,,12.326,2418,53
1783315857.018,08_ddp2_bf16_bs4,0,0,,12.326,2418,53
1783315857.220,08_ddp2_bf16_bs4,46,0,,21.467,2496,56
1783315857.426,08_ddp2_bf16_bs4,46,0,,21.467,2496,56
1783315857.637,08_ddp2_bf16_bs4,46,0,,28.334,2450,55
1783315857.838,08_ddp2_bf16_bs4,46,0,,28.334,2450,55
1783315858.039,08_ddp2_bf16_bs4,46,0,,28.334,2450,55
1783315858.239,08_ddp2_bf16_bs4,96,0,,28.486,2470,62
1783315858.441,08_ddp2_bf16_bs4,96,0,,28.486,2470,62
1783315858.642,08_ddp2_bf16_bs4,96,0,,41.168,2496,59
1783315858.843,08_ddp2_bf16_bs4,96,0,,41.168,2496,59
1783315859.043,08_ddp2_bf16_bs4,96,0,,41.168,2496,59
1783315859.244,08_ddp2_bf16_bs4,0,0,,36.694,2424,54
1783315859.444,08_ddp2_bf16_bs4,0,0,,36.694,2424,54
1783315859.644,08_ddp2_bf16_bs4,0,0,,16.487,2411,54
1783315859.845,08_ddp2_bf16_bs4,0,0,,16.487,2411,54
1783315860.046,08_ddp2_bf16_bs4,0,0,,16.487,2411,54
1783315860.246,08_ddp2_bf16_bs4,96,0,,12.678,2411,54
1783315860.448,08_ddp2_bf16_bs4,96,0,,12.678,2411,54
1783315860.649,08_ddp2_bf16_bs4,96,0,,13.709,2411,53
1783315864.463,08_ddp2_bf16_bs4,0,0,,13.558,2411,53
1783315868.168,08_ddp2_bf16_bs4,84,0,,13.17,2411,51
1783315875.830,08_ddp2_bf16_bs4,0,0,,13.17,2411,51
1783315876.030,08_ddp2_bf16_bs4,0,0,,13.17,2411,51
1783315876.231,08_ddp2_bf16_bs4,73,0,,25.802,2496,58
1783315876.432,08_ddp2_bf16_bs4,73,0,,25.802,2496,58
1783315876.633,08_ddp2_bf16_bs4,73,0,,39.404,2483,56
1783315876.833,08_ddp2_bf16_bs4,73,0,,39.404,2483,56
1783315877.033,08_ddp2_bf16_bs4,73,0,,39.404,2483,56
1783315877.234,08_ddp2_bf16_bs4,4,0,,30.757,2457,52
1783315877.435,08_ddp2_bf16_bs4,4,0,,30.757,2457,52
1783315877.635,08_ddp2_bf16_bs4,4,0,,22.125,2470,54
1783315877.836,08_ddp2_bf16_bs4,4,0,,22.125,2470,54
1783315878.037,08_ddp2_bf16_bs4,4,0,,22.125,2470,54
1783315878.238,08_ddp2_bf16_bs4,96,0,,34.885,2496,56
1783315878.439,08_ddp2_bf16_bs4,96,0,,34.885,2496,56
1783315878.639,08_ddp2_bf16_bs4,96,0,,45.342,2502,58
1783315878.840,08_ddp2_bf16_bs4,96,0,,45.342,2502,58
1783315879.040,08_ddp2_bf16_bs4,96,0,,45.342,2502,58
1783315879.241,08_ddp2_bf16_bs4,96,0,,45.111,2502,56
1783315879.441,08_ddp2_bf16_bs4,96,0,,45.111,2502,56
1783315879.642,08_ddp2_bf16_bs4,96,0,,31.267,2431,53
1783315879.842,08_ddp2_bf16_bs4,96,0,,31.267,2431,53
1783315880.043,08_ddp2_bf16_bs4,96,0,,31.267,2431,53
1783315880.243,08_ddp2_bf16_bs4,96,0,,20.32,2496,55
1783315880.444,08_ddp2_bf16_bs4,96,0,,20.32,2496,55
1783315880.645,08_ddp2_bf16_bs4,96,0,,35.909,2489,55
1783315880.845,08_ddp2_bf16_bs4,96,0,,35.909,2489,55
1783315881.046,08_ddp2_bf16_bs4,96,0,,35.909,2489,55
1783315881.253,08_ddp2_bf16_bs4,96,0,,46.822,2496,58
1783315881.453,08_ddp2_bf16_bs4,96,0,,46.822,2496,58
1783315881.654,08_ddp2_bf16_bs4,96,0,,44.463,2502,55
1783315881.854,08_ddp2_bf16_bs4,96,0,,44.463,2502,55
1783315882.054,08_ddp2_bf16_bs4,96,0,,44.463,2502,55
1783315882.255,08_ddp2_bf16_bs4,65,0,,29.195,2424,54
1783315882.456,08_ddp2_bf16_bs4,65,0,,29.195,2424,54
1783315882.656,08_ddp2_bf16_bs4,65,0,,24.349,2509,59
1783315882.857,08_ddp2_bf16_bs4,65,0,,24.349,2509,59
1783315883.057,08_ddp2_bf16_bs4,65,0,,24.349,2509,59
1783315883.258,08_ddp2_bf16_bs4,96,0,,37.167,2489,55
1783315883.459,08_ddp2_bf16_bs4,96,0,,37.167,2489,55
1783315883.660,08_ddp2_bf16_bs4,96,0,,47.437,2489,60
1783315883.861,08_ddp2_bf16_bs4,96,0,,47.437,2489,60
1783315884.061,08_ddp2_bf16_bs4,96,0,,47.437,2489,60
1783315884.262,08_ddp2_bf16_bs4,19,0,,42.901,2502,54
1783315884.463,08_ddp2_bf16_bs4,19,0,,42.901,2502,54
1783315884.664,08_ddp2_bf16_bs4,19,0,,25.909,2411,55
1783315884.864,08_ddp2_bf16_bs4,19,0,,25.909,2411,55
1783315885.064,08_ddp2_bf16_bs4,19,0,,25.909,2411,55
1783315885.265,08_ddp2_bf16_bs4,95,0,,28.186,2509,60
1783315885.466,08_ddp2_bf16_bs4,95,0,,28.186,2509,60
1783315885.666,08_ddp2_bf16_bs4,95,0,,41.844,2502,61
1783315885.867,08_ddp2_bf16_bs4,95,0,,41.844,2502,61
1783315886.068,08_ddp2_bf16_bs4,95,0,,41.844,2502,61
1783315886.269,08_ddp2_bf16_bs4,96,0,,46.941,2502,60
1783315886.469,08_ddp2_bf16_bs4,96,0,,46.941,2502,60
1783315886.669,08_ddp2_bf16_bs4,96,0,,37.712,2476,54
1783315886.870,08_ddp2_bf16_bs4,96,0,,37.712,2476,54
1783315887.071,08_ddp2_bf16_bs4,96,0,,37.712,2418,54
1783315887.287,08_ddp2_bf16_bs4,96,0,,23.287,2431,56
1783315887.488,08_ddp2_bf16_bs4,96,0,,23.287,2431,56
1783315887.689,08_ddp2_bf16_bs4,96,0,,33.77,2502,65
1783315887.889,08_ddp2_bf16_bs4,96,0,,33.77,2502,65
1783315888.090,08_ddp2_bf16_bs4,96,0,,43.927,2509,60
1783315888.291,08_ddp2_bf16_bs4,96,0,,43.927,2509,60
1783315888.491,08_ddp2_bf16_bs4,96,0,,43.927,2509,60
1783315888.692,08_ddp2_bf16_bs4,96,0,,46.41,2502,61
1783315888.893,08_ddp2_bf16_bs4,96,0,,46.41,2502,61
1783315889.093,08_ddp2_bf16_bs4,3,0,,33.995,2444,54
1783315889.293,08_ddp2_bf16_bs4,3,0,,33.995,2444,54
1783315889.495,08_ddp2_bf16_bs4,3,0,,33.995,2444,54
1783315889.695,08_ddp2_bf16_bs4,3,0,,21.132,2463,56
1783315889.896,08_ddp2_bf16_bs4,3,0,,21.132,2463,56
1783315890.096,08_ddp2_bf16_bs4,96,0,,35.361,2496,58
1783315890.297,08_ddp2_bf16_bs4,96,0,,35.361,2496,58
1783315890.498,08_ddp2_bf16_bs4,96,0,,35.361,2496,58
1783315890.699,08_ddp2_bf16_bs4,96,0,,45.763,2502,60
1783315890.899,08_ddp2_bf16_bs4,96,0,,45.763,2502,60
1783315891.100,08_ddp2_bf16_bs4,96,0,,45.117,2502,58
1783315891.301,08_ddp2_bf16_bs4,96,0,,45.117,2502,58
1783315891.501,08_ddp2_bf16_bs4,96,0,,45.117,2502,58
1783315891.701,08_ddp2_bf16_bs4,96,0,,31.607,2431,54
1783315891.902,08_ddp2_bf16_bs4,96,0,,31.607,2431,54
1783315892.103,08_ddp2_bf16_bs4,96,0,,20.809,2496,56
1783315892.304,08_ddp2_bf16_bs4,96,0,,20.809,2496,56
1783315892.504,08_ddp2_bf16_bs4,96,0,,20.809,2496,56
1783315892.705,08_ddp2_bf16_bs4,96,0,,36.597,2489,57
1783315892.906,08_ddp2_bf16_bs4,96,0,,36.597,2489,57
1783315893.107,08_ddp2_bf16_bs4,96,0,,47.694,2496,61
1783315893.307,08_ddp2_bf16_bs4,96,0,,47.694,2496,61
1783315893.508,08_ddp2_bf16_bs4,96,0,,47.694,2496,61
1783315893.708,08_ddp2_bf16_bs4,96,0,,44.473,2502,56
1783315893.909,08_ddp2_bf16_bs4,96,0,,44.473,2502,56
1783315894.109,08_ddp2_bf16_bs4,70,0,,28.614,2424,55
1783315894.310,08_ddp2_bf16_bs4,70,0,,28.614,2424,55
1783315894.511,08_ddp2_bf16_bs4,70,0,,28.614,2424,55
1783315894.712,08_ddp2_bf16_bs4,70,0,,24.668,2509,60
1783315894.913,08_ddp2_bf16_bs4,70,0,,24.668,2509,60
1783315895.114,08_ddp2_bf16_bs4,96,0,,37.445,2489,57
1783315895.315,08_ddp2_bf16_bs4,96,0,,37.445,2489,57
1783315895.515,08_ddp2_bf16_bs4,96,0,,37.445,2489,57
1783315895.716,08_ddp2_bf16_bs4,96,0,,47.764,2489,60
1783315895.917,08_ddp2_bf16_bs4,96,0,,47.764,2489,60
1783315896.117,08_ddp2_bf16_bs4,16,0,,43.033,2502,55
