ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315970.327,09_fsdp_bf16_bs8,0,0,,11.76,2411,51
1783315970.537,09_fsdp_bf16_bs8,0,0,,11.76,2411,51
1783315970.738,09_fsdp_bf16_bs8,0,0,,12.152,2411,51
1783315970.938,09_fsdp_bf16_bs8,0,0,,12.152,2411,51
1783315971.139,09_fsdp_bf16_bs8,0,0,,12.152,2411,51
1783315971.339,09_fsdp_bf16_bs8,0,0,,11.981,2411,51
1783315971.540,09_fsdp_bf16_bs8,0,0,,11.981,2411,51
1783315971.741,09_fsdp_bf16_bs8,0,0,,11.483,2411,51
1783315971.942,09_fsdp_bf16_bs8,0,0,,11.483,2411,51
1783315972.143,09_fsdp_bf16_bs8,0,0,,11.483,2411,51
1783315972.343,09_fsdp_bf16_bs8,0,0,,11.466,2411,50
1783315972.544,09_fsdp_bf16_bs8,0,0,,11.466,2411,50
1783315972.745,09_fsdp_bf16_bs8,0,0,,11.442,2411,50
1783315972.945,09_fsdp_bf16_bs8,0,0,,11.442,2411,50
1783315973.146,09_fsdp_bf16_bs8,0,0,,11.442,2411,50
1783315973.347,09_fsdp_bf16_bs8,0,0,,11.494,2411,50
1783315973.547,09_fsdp_bf16_bs8,0,0,,11.494,2411,50
1783315973.748,09_fsdp_bf16_bs8,0,0,,11.664,2418,50
1783315973.948,09_fsdp_bf16_bs8,0,0,,11.664,2418,50
1783315974.150,09_fsdp_bf16_bs8,0,0,,11.664,2418,50
1783315974.352,09_fsdp_bf16_bs8,43,0,,17.683,2483,53
1783315974.553,09_fsdp_bf16_bs8,43,0,,17.683,2483,53
1783315974.763,09_fsdp_bf16_bs8,43,0,,26.57,2463,51
1783315974.965,09_fsdp_bf16_bs8,43,0,,26.57,2463,51
1783315975.165,09_fsdp_bf16_bs8,86,0,,23.274,2470,52
1783315975.386,09_fsdp_bf16_bs8,86,0,,23.274,2470,52
1783315975.587,09_fsdp_bf16_bs8,86,0,,23.274,2470,52
1783315975.788,09_fsdp_bf16_bs8,86,0,,31.396,2496,58
1783315975.989,09_fsdp_bf16_bs8,86,0,,31.396,2496,58
1783315976.206,09_fsdp_bf16_bs8,19,0,,41.227,2457,52
1783315976.407,09_fsdp_bf16_bs8,19,0,,41.227,2457,52
1783315976.607,09_fsdp_bf16_bs8,19,0,,41.227,2457,52
1783315976.808,09_fsdp_bf16_bs8,19,0,,25.494,2437,52
1783315977.009,09_fsdp_bf16_bs8,19,0,,30.388,2496,55
1783315977.432,09_fsdp_bf16_bs8,96,0,,30.388,2496,55
1783315977.633,09_fsdp_bf16_bs8,96,0,,30.388,2496,55
1783315977.834,09_fsdp_bf16_bs8,96,0,,46.004,2496,59
1783315978.035,09_fsdp_bf16_bs8,96,0,,46.004,2496,59
1783315978.235,09_fsdp_bf16_bs8,96,0,,43.307,2476,54
1783315978.436,09_fsdp_bf16_bs8,96,0,,43.307,2476,54
1783315978.638,09_fsdp_bf16_bs8,96,0,,43.307,2476,54
1783315978.838,09_fsdp_bf16_bs8,96,0,,44.299,2496,55
1783315979.039,09_fsdp_bf16_bs8,96,0,,44.299,2496,55
1783315979.239,09_fsdp_bf16_bs8,96,0,,47.94,2496,58
1783315979.440,09_fsdp_bf16_bs8,96,0,,47.94,2496,58
1783315979.640,09_fsdp_bf16_bs8,96,0,,47.94,2496,58
1783315979.841,09_fsdp_bf16_bs8,96,0,,43.897,2483,54
1783315980.042,09_fsdp_bf16_bs8,96,0,,43.897,2483,54
1783315980.243,09_fsdp_bf16_bs8,96,0,,43.142,2496,55
1783315980.444,09_fsdp_bf16_bs8,96,0,,43.142,2496,55
1783315980.645,09_fsdp_bf16_bs8,96,0,,43.142,2496,55
1783315980.846,09_fsdp_bf16_bs8,96,0,,49.702,2496,59
1783315981.047,09_fsdp_bf16_bs8,96,0,,49.702,2496,59
1783315981.248,09_fsdp_bf16_bs8,93,0,,44.004,2483,55
1783315981.449,09_fsdp_bf16_bs8,93,0,,44.004,2483,55
1783315981.650,09_fsdp_bf16_bs8,93,0,,44.004,2483,55
1783315981.850,09_fsdp_bf16_bs8,93,0,,41.383,2502,55
1783315982.051,09_fsdp_bf16_bs8,93,0,,41.383,2502,55
1783315982.252,09_fsdp_bf16_bs8,96,0,,51.071,2496,58
1783315982.452,09_fsdp_bf16_bs8,96,0,,51.071,2496,58
1783315982.653,09_fsdp_bf16_bs8,96,0,,51.071,2496,58
1783315982.854,09_fsdp_bf16_bs8,96,0,,45.669,2483,60
1783315983.054,09_fsdp_bf16_bs8,96,0,,45.669,2483,60
1783315983.255,09_fsdp_bf16_bs8,96,0,,40.8,2509,55
1783315983.455,09_fsdp_bf16_bs8,96,0,,40.8,2509,55
1783315983.656,09_fsdp_bf16_bs8,96,0,,40.8,2509,55
1783315983.857,09_fsdp_bf16_bs8,96,0,,51.134,2496,59
1783315984.057,09_fsdp_bf16_bs8,96,0,,51.134,2496,59
1783315984.258,09_fsdp_bf16_bs8,96,0,,47.33,2502,60
1783315984.459,09_fsdp_bf16_bs8,96,0,,47.33,2502,60
1783315984.660,09_fsdp_bf16_bs8,96,0,,47.33,2502,60
1783315984.860,09_fsdp_bf16_bs8,96,0,,42.917,2509,65
1783315985.061,09_fsdp_bf16_bs8,96,0,,42.917,2509,65
1783315985.261,09_fsdp_bf16_bs8,96,0,,50.795,2496,61
1783315985.461,09_fsdp_bf16_bs8,96,0,,50.795,2496,61
1783315985.662,09_fsdp_bf16_bs8,96,0,,50.795,2496,61
1783315985.863,09_fsdp_bf16_bs8,96,0,,45.783,2502,60
1783315986.064,09_fsdp_bf16_bs8,96,0,,45.783,2502,60
1783315986.264,09_fsdp_bf16_bs8,96,0,,43.615,2502,60
1783315986.465,09_fsdp_bf16_bs8,96,0,,43.615,2502,60
1783315986.666,09_fsdp_bf16_bs8,96,0,,43.615,2502,60
1783315986.867,09_fsdp_bf16_bs8,96,0,,50.1,2496,60
1783315987.068,09_fsdp_bf16_bs8,96,0,,50.1,2496,60
1783315987.269,09_fsdp_bf16_bs8,96,0,,45.503,2502,61
1783315987.469,09_fsdp_bf16_bs8,96,0,,45.503,2502,61
1783315987.670,09_fsdp_bf16_bs8,96,0,,45.503,2502,61
1783315987.870,09_fsdp_bf16_bs8,96,0,,43.743,2496,60
1783315988.071,09_fsdp_bf16_bs8,96,0,,43.743,2496,60
1783315988.272,09_fsdp_bf16_bs8,96,0,,47.589,2496,56
1783315988.473,09_fsdp_bf16_bs8,96,0,,47.589,2496,56
1783315988.674,09_fsdp_bf16_bs8,96,0,,47.589,2496,56
1783315988.875,09_fsdp_bf16_bs8,96,0,,46.928,2496,67
1783315989.075,09_fsdp_bf16_bs8,96,0,,46.928,2496,67
1783315989.276,09_fsdp_bf16_bs8,96,0,,45.434,2496,62
1783315989.477,09_fsdp_bf16_bs8,96,0,,45.434,2496,62
1783315989.678,09_fsdp_bf16_bs8,96,0,,45.434,2496,62
1783315989.879,09_fsdp_bf16_bs8,96,0,,44.589,2483,56
1783315990.080,09_fsdp_bf16_bs8,96,0,,44.589,2483,56
1783315990.281,09_fsdp_bf16_bs8,96,0,,45.566,2489,58
1783315990.481,09_fsdp_bf16_bs8,96,0,,45.566,2489,58
1783315990.683,09_fsdp_bf16_bs8,96,0,,45.566,2489,58
1783315990.883,09_fsdp_bf16_bs8,96,0,,47.499,2489,61
1783315991.085,09_fsdp_bf16_bs8,96,0,,47.499,2489,61
1783315991.285,09_fsdp_bf16_bs8,96,0,,44.277,2470,56
1783315991.486,09_fsdp_bf16_bs8,96,0,,44.277,2470,56
1783315991.687,09_fsdp_bf16_bs8,96,0,,44.277,2470,56
1783315991.888,09_fsdp_bf16_bs8,96,0,,44.273,2496,57
1783315992.088,09_fsdp_bf16_bs8,96,0,,44.273,2496,57
1783315992.289,09_fsdp_bf16_bs8,96,0,,49.263,2489,61
1783315992.490,09_fsdp_bf16_bs8,96,0,,49.263,2489,61
1783315992.691,09_fsdp_bf16_bs8,96,0,,49.263,2489,61
1783315992.892,09_fsdp_bf16_bs8,96,0,,44.75,2483,57
1783315993.092,09_fsdp_bf16_bs8,96,0,,44.75,2483,57
1783315993.293,09_fsdp_bf16_bs8,96,0,,42.955,2496,57
1783315993.494,09_fsdp_bf16_bs8,96,0,,42.955,2496,57
1783315993.694,09_fsdp_bf16_bs8,96,0,,42.955,2496,57
1783315993.895,09_fsdp_bf16_bs8,96,0,,50.118,2489,60
1783315994.113,09_fsdp_bf16_bs8,96,0,,50.118,2489,60
1783315994.314,09_fsdp_bf16_bs8,94,0,,45.318,2483,57
1783315994.515,09_fsdp_bf16_bs8,94,0,,45.318,2483,57
1783315994.715,09_fsdp_bf16_bs8,94,0,,40.751,2502,57
1783315994.916,09_fsdp_bf16_bs8,94,0,,40.751,2502,57
1783315995.124,09_fsdp_bf16_bs8,94,0,,40.751,2502,57
1783315995.325,09_fsdp_bf16_bs8,96,0,,51.497,2489,61
1783315995.526,09_fsdp_bf16_bs8,96,0,,51.497,2489,61
1783315995.727,09_fsdp_bf16_bs8,96,0,,46.747,2489,61
1783315995.928,09_fsdp_bf16_bs8,96,0,,46.747,2489,61
1783315996.132,09_fsdp_bf16_bs8,96,0,,46.747,2489,61
