ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783316038.754,10_fsdp_offload,23,0,,12.419,2411,51
1783316038.959,10_fsdp_offload,23,0,,12.419,2411,51
1783316039.159,10_fsdp_offload,23,0,,12.419,2411,51
1783316039.359,10_fsdp_offload,0,0,,12.03,2411,51
1783316039.560,10_fsdp_offload,0,0,,12.03,2411,51
1783316039.760,10_fsdp_offload,0,0,,11.614,2411,51
1783316039.960,10_fsdp_offload,0,0,,11.614,2411,51
1783316040.160,10_fsdp_offload,0,0,,11.614,2411,51
1783316040.361,10_fsdp_offload,0,0,,11.604,2411,51
1783316040.561,10_fsdp_offload,0,0,,11.604,2411,51
1783316040.761,10_fsdp_offload,0,0,,11.57,2411,51
1783316040.961,10_fsdp_offload,0,0,,11.57,2411,51
1783316041.162,10_fsdp_offload,0,0,,11.57,2411,51
1783316041.362,10_fsdp_offload,0,0,,11.571,2411,51
1783316041.563,10_fsdp_offload,0,0,,11.571,2411,51
1783316041.764,10_fsdp_offload,0,0,,11.58,2411,51
1783316041.964,10_fsdp_offload,0,0,,11.58,2411,51
1783316042.165,10_fsdp_offload,0,0,,11.58,2411,51
1783316042.365,10_fsdp_offload,0,0,,11.666,2411,51
1783316042.566,10_fsdp_offload,0,0,,11.666,2411,51
1783316042.766,10_fsdp_offload,0,0,,11.756,2411,51
1783316042.966,10_fsdp_offload,0,0,,11.756,2411,51
1783316043.167,10_fsdp_offload,0,0,,11.756,2411,51
1783316043.367,10_fsdp_offload,1,0,,11.807,2411,51
1783316043.568,10_fsdp_offload,1,0,,11.807,2411,51
1783316043.774,10_fsdp_offload,1,0,,17.795,2450,54
1783316043.976,10_fsdp_offload,1,0,,17.795,2450,54
1783316044.181,10_fsdp_offload,1,0,,26.479,2476,51
1783316044.515,10_fsdp_offload,11,0,,26.479,2476,51
1783316044.716,10_fsdp_offload,11,0,,23.262,2457,51
1783316045.059,10_fsdp_offload,11,0,,23.262,2457,51
1783316045.260,10_fsdp_offload,91,0,,28.693,2502,58
1783316045.461,10_fsdp_offload,91,0,,28.693,2502,58
1783316045.662,10_fsdp_offload,91,0,,28.693,2502,58
1783316045.875,10_fsdp_offload,91,0,,41.168,2502,53
1783316046.075,10_fsdp_offload,91,0,,41.168,2502,53
1783316046.276,10_fsdp_offload,17,0,,27.959,2411,51
1783316046.476,10_fsdp_offload,17,0,,27.959,2411,51
1783316046.677,10_fsdp_offload,17,0,,27.959,2411,51
1783316046.877,10_fsdp_offload,17,0,,12.148,2411,51
1783316047.078,10_fsdp_offload,17,0,,12.148,2411,51
1783316047.278,10_fsdp_offload,84,0,,17.787,2418,56
1783316047.478,10_fsdp_offload,84,0,,17.787,2418,56
1783316047.679,10_fsdp_offload,84,0,,17.787,2418,56
1783316047.880,10_fsdp_offload,84,0,,35.78,2502,54
1783316048.081,10_fsdp_offload,84,0,,35.78,2502,54
1783316048.282,10_fsdp_offload,96,0,,50.32,2502,58
1783316048.482,10_fsdp_offload,96,0,,50.32,2502,58
