ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783755818.681,prom_smoke_bf16_bs8,14,0,,10.78,2405,43
1783755818.887,prom_smoke_bf16_bs8,14,0,,10.78,2405,43
1783755819.087,prom_smoke_bf16_bs8,14,0,,10.78,2405,43
1783755819.288,prom_smoke_bf16_bs8,14,0,,10.795,2405,43
1783755819.489,prom_smoke_bf16_bs8,14,0,,10.795,2405,43
1783755819.690,prom_smoke_bf16_bs8,0,0,,10.63,2405,43
1783755819.891,prom_smoke_bf16_bs8,0,0,,10.63,2405,43
1783755820.091,prom_smoke_bf16_bs8,0,0,,10.63,2405,43
1783755820.292,prom_smoke_bf16_bs8,0,0,,10.617,2405,43
1783755820.493,prom_smoke_bf16_bs8,0,0,,10.617,2405,43
1783755820.694,prom_smoke_bf16_bs8,0,0,,10.626,2405,43
1783755820.894,prom_smoke_bf16_bs8,0,0,,10.626,2405,43
1783755821.095,prom_smoke_bf16_bs8,0,0,,10.626,2405,43
1783755821.295,prom_smoke_bf16_bs8,0,0,,10.558,2405,43
1783755821.496,prom_smoke_bf16_bs8,0,0,,10.558,2405,43
1783755821.696,prom_smoke_bf16_bs8,0,0,,10.598,2405,43
1783755821.896,prom_smoke_bf16_bs8,0,0,,10.598,2405,43
1783755822.097,prom_smoke_bf16_bs8,0,0,,10.598,2405,43
1783755822.297,prom_smoke_bf16_bs8,0,0,,10.932,2418,43
1783755822.498,prom_smoke_bf16_bs8,0,0,,10.932,2418,43
1783755822.699,prom_smoke_bf16_bs8,38,0,,19.909,2502,46
1783755822.900,prom_smoke_bf16_bs8,38,0,,19.909,2502,46
1783755823.331,prom_smoke_bf16_bs8,38,0,,25.485,2463,43
1783755823.616,prom_smoke_bf16_bs8,38,0,,19.713,2411,44
1783755824.134,prom_smoke_bf16_bs8,75,0,,19.713,2411,44
1783755824.334,prom_smoke_bf16_bs8,75,0,,17.416,2411,46
1783755824.535,prom_smoke_bf16_bs8,75,0,,17.416,2411,46
1783755824.741,prom_smoke_bf16_bs8,96,0,,33.885,2515,50
1783755824.941,prom_smoke_bf16_bs8,96,0,,33.885,2515,50
1783755825.142,prom_smoke_bf16_bs8,96,0,,24.172,2411,44
1783755826.448,prom_smoke_bf16_bs8,0,0,,24.172,2411,44
1783755826.649,prom_smoke_bf16_bs8,96,0,,22.173,2496,54
1783755826.850,prom_smoke_bf16_bs8,96,0,,22.173,2496,54
1783755827.051,prom_smoke_bf16_bs8,96,0,,22.173,2496,54
1783755827.252,prom_smoke_bf16_bs8,96,0,,41.646,2515,52
1783755827.465,prom_smoke_bf16_bs8,96,0,,41.646,2515,52
1783755827.666,prom_smoke_bf16_bs8,96,0,,47.236,2522,52
1783755827.867,prom_smoke_bf16_bs8,96,0,,47.236,2522,52
1783755828.068,prom_smoke_bf16_bs8,96,0,,47.236,2522,52
1783755828.268,prom_smoke_bf16_bs8,96,0,,41.884,2528,53
1783755828.480,prom_smoke_bf16_bs8,96,0,,41.884,2528,53
1783755828.681,prom_smoke_bf16_bs8,96,0,,44.175,2509,49
1783755828.882,prom_smoke_bf16_bs8,96,0,,44.175,2509,49
1783755829.082,prom_smoke_bf16_bs8,96,0,,44.175,2509,49
1783755829.283,prom_smoke_bf16_bs8,96,0,,47.09,2515,50
1783755829.487,prom_smoke_bf16_bs8,96,0,,47.09,2515,50
1783755829.687,prom_smoke_bf16_bs8,96,0,,46.71,2509,52
1783755829.888,prom_smoke_bf16_bs8,96,0,,46.71,2509,52
1783755830.089,prom_smoke_bf16_bs8,96,0,,46.71,2509,52
1783755830.289,prom_smoke_bf16_bs8,96,0,,44.481,2502,49
1783755830.493,prom_smoke_bf16_bs8,96,0,,44.481,2502,49
1783755830.694,prom_smoke_bf16_bs8,96,0,,43.095,2496,49
1783755830.894,prom_smoke_bf16_bs8,96,0,,43.095,2496,49
1783755831.094,prom_smoke_bf16_bs8,96,0,,43.095,2496,49
1783755831.295,prom_smoke_bf16_bs8,96,0,,50.295,2502,56
1783755831.514,prom_smoke_bf16_bs8,96,0,,50.295,2502,56
1783755831.716,prom_smoke_bf16_bs8,96,0,,49.173,2528,54
1783755831.916,prom_smoke_bf16_bs8,96,0,,49.173,2528,54
1783755832.117,prom_smoke_bf16_bs8,96,0,,49.173,2528,54
1783755832.317,prom_smoke_bf16_bs8,96,0,,45.388,2515,54
1783755832.524,prom_smoke_bf16_bs8,96,0,,45.388,2515,54
1783755832.725,prom_smoke_bf16_bs8,96,0,,48.908,2502,55
1783755832.925,prom_smoke_bf16_bs8,96,0,,48.908,2502,55
1783755833.126,prom_smoke_bf16_bs8,96,0,,48.908,2502,55
1783755833.326,prom_smoke_bf16_bs8,96,0,,48.265,2509,57
1783755833.529,prom_smoke_bf16_bs8,96,0,,48.265,2509,57
1783755833.730,prom_smoke_bf16_bs8,96,0,,46.2,2522,55
1783755833.931,prom_smoke_bf16_bs8,96,0,,46.2,2522,55
1783755834.131,prom_smoke_bf16_bs8,96,0,,46.2,2522,55
1783755834.332,prom_smoke_bf16_bs8,96,0,,44.386,2502,51
1783755834.534,prom_smoke_bf16_bs8,96,0,,44.386,2502,51
1783755834.735,prom_smoke_bf16_bs8,96,0,,44.378,2489,51
1783755834.936,prom_smoke_bf16_bs8,96,0,,44.378,2489,51
1783755835.136,prom_smoke_bf16_bs8,96,0,,44.378,2489,51
1783755835.337,prom_smoke_bf16_bs8,96,0,,49.498,2496,54
1783755835.572,prom_smoke_bf16_bs8,96,0,,49.498,2496,54
1783755835.773,prom_smoke_bf16_bs8,91,0,,48.004,2515,56
1783755835.974,prom_smoke_bf16_bs8,91,0,,48.004,2515,56
1783755836.175,prom_smoke_bf16_bs8,91,0,,45.358,2509,62
1783755836.376,prom_smoke_bf16_bs8,91,0,,45.358,2509,62
1783755836.578,prom_smoke_bf16_bs8,91,0,,45.358,2509,62
1783755836.779,prom_smoke_bf16_bs8,96,0,,50.262,2502,55
1783755836.981,prom_smoke_bf16_bs8,96,0,,50.262,2502,55
1783755837.181,prom_smoke_bf16_bs8,96,0,,49.434,2515,56
1783755837.382,prom_smoke_bf16_bs8,96,0,,49.434,2515,56
1783755837.586,prom_smoke_bf16_bs8,96,0,,49.434,2515,56
1783755837.787,prom_smoke_bf16_bs8,96,0,,45.561,2522,54
1783755837.987,prom_smoke_bf16_bs8,96,0,,45.561,2522,54
1783755838.188,prom_smoke_bf16_bs8,96,0,,44.756,2502,52
1783755838.389,prom_smoke_bf16_bs8,96,0,,44.756,2502,52
1783755838.595,prom_smoke_bf16_bs8,96,0,,44.756,2502,52
1783755838.796,prom_smoke_bf16_bs8,96,0,,45.568,2496,52
1783755838.997,prom_smoke_bf16_bs8,96,0,,45.568,2496,52
1783755839.198,prom_smoke_bf16_bs8,96,0,,48.483,2502,55
1783755839.399,prom_smoke_bf16_bs8,96,0,,48.483,2502,55
1783755839.611,prom_smoke_bf16_bs8,96,0,,48.483,2502,55
1783755839.812,prom_smoke_bf16_bs8,88,0,,46.593,2509,56
1783755840.013,prom_smoke_bf16_bs8,88,0,,46.593,2509,56
1783755840.213,prom_smoke_bf16_bs8,88,0,,44.654,2496,52
1783755840.414,prom_smoke_bf16_bs8,88,0,,44.654,2496,52
1783755840.622,prom_smoke_bf16_bs8,88,0,,44.654,2496,52
1783755840.824,prom_smoke_bf16_bs8,96,0,,50.223,2502,56
1783755841.025,prom_smoke_bf16_bs8,96,0,,50.223,2502,56
1783755841.226,prom_smoke_bf16_bs8,96,0,,48.857,2515,56
1783755841.427,prom_smoke_bf16_bs8,96,0,,48.857,2515,56
1783755841.633,prom_smoke_bf16_bs8,96,0,,48.857,2515,56
1783755841.834,prom_smoke_bf16_bs8,96,0,,45.797,2522,57
1783755842.035,prom_smoke_bf16_bs8,96,0,,45.797,2522,57
1783755842.236,prom_smoke_bf16_bs8,96,0,,47.47,2502,53
1783755842.436,prom_smoke_bf16_bs8,96,0,,47.47,2502,53
1783755842.638,prom_smoke_bf16_bs8,96,0,,47.47,2502,53
1783755842.839,prom_smoke_bf16_bs8,96,0,,46.97,2502,54
1783755843.039,prom_smoke_bf16_bs8,96,0,,46.97,2502,54
1783755843.240,prom_smoke_bf16_bs8,96,0,,48.305,2509,56
1783755843.441,prom_smoke_bf16_bs8,96,0,,48.305,2509,56
1783755843.664,prom_smoke_bf16_bs8,96,0,,46.029,2502,53
1783755843.865,prom_smoke_bf16_bs8,96,0,,46.029,2502,53
1783755844.065,prom_smoke_bf16_bs8,96,0,,46.029,2502,53
1783755844.266,prom_smoke_bf16_bs8,96,0,,43.214,2489,53
1783755844.467,prom_smoke_bf16_bs8,96,0,,43.214,2489,53
1783755844.675,prom_smoke_bf16_bs8,96,0,,50.757,2496,57
1783755844.876,prom_smoke_bf16_bs8,96,0,,50.757,2496,57
1783755845.077,prom_smoke_bf16_bs8,96,0,,50.757,2496,57
1783755845.277,prom_smoke_bf16_bs8,96,0,,50.932,2509,57
1783755845.478,prom_smoke_bf16_bs8,96,0,,50.932,2509,57
1783755845.684,prom_smoke_bf16_bs8,96,0,,46.002,2502,59
1783755845.885,prom_smoke_bf16_bs8,96,0,,46.002,2502,59
1783755846.086,prom_smoke_bf16_bs8,96,0,,46.002,2502,59
1783755846.287,prom_smoke_bf16_bs8,96,0,,48.813,2502,59
1783755846.488,prom_smoke_bf16_bs8,96,0,,48.813,2502,59
1783755846.690,prom_smoke_bf16_bs8,96,0,,48.278,2496,61
1783755846.891,prom_smoke_bf16_bs8,96,0,,48.278,2496,61
1783755847.092,prom_smoke_bf16_bs8,96,0,,48.278,2496,61
1783755847.292,prom_smoke_bf16_bs8,96,0,,46.924,2502,58
1783755847.493,prom_smoke_bf16_bs8,96,0,,46.924,2502,58
1783755847.724,prom_smoke_bf16_bs8,96,0,,44.593,2502,54
1783755847.924,prom_smoke_bf16_bs8,96,0,,44.593,2502,54
1783755848.125,prom_smoke_bf16_bs8,96,0,,44.593,2502,54
1783755848.326,prom_smoke_bf16_bs8,96,0,,44.394,2496,54
1783755848.527,prom_smoke_bf16_bs8,96,0,,44.394,2496,54
1783755848.737,prom_smoke_bf16_bs8,96,0,,51.087,2489,58
1783755848.939,prom_smoke_bf16_bs8,96,0,,51.087,2489,58
1783755849.141,prom_smoke_bf16_bs8,96,0,,51.087,2489,58
1783755849.341,prom_smoke_bf16_bs8,96,0,,49.076,2509,58
1783755849.542,prom_smoke_bf16_bs8,96,0,,49.076,2509,58
1783755849.745,prom_smoke_bf16_bs8,96,0,,45.994,2502,65
1783755849.946,prom_smoke_bf16_bs8,96,0,,45.994,2502,65
1783755850.147,prom_smoke_bf16_bs8,96,0,,45.994,2502,65
1783755850.348,prom_smoke_bf16_bs8,96,0,,50.467,2502,59
1783755850.548,prom_smoke_bf16_bs8,96,0,,50.467,2502,59
