ts,tag,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,sm_clock_mhz,temp_c
1783315430.355,smoke,0,0,,10.429,2405,40
1783315430.559,smoke,0,0,,10.68,2424,40
1783315430.760,smoke,0,0,,10.68,2424,40
1783315430.960,smoke,0,0,,10.68,2424,40
1783315431.160,smoke,0,0,,10.635,2405,40
1783315431.361,smoke,0,0,,10.635,2405,40
1783315431.561,smoke,0,0,,10.373,2405,40
1783315431.761,smoke,0,0,,10.373,2405,40
1783315431.961,smoke,0,0,,10.373,2405,40
1783315432.162,smoke,0,0,,10.378,2405,40
1783315432.362,smoke,0,0,,10.378,2405,40
1783315432.562,smoke,0,0,,10.344,2405,40
1783315432.762,smoke,0,0,,10.344,2405,40
1783315432.963,smoke,0,0,,10.344,2405,40
1783315433.163,smoke,0,0,,10.317,2405,40
1783315433.366,smoke,0,0,,10.317,2405,40
1783315433.567,smoke,1,0,,10.42,2405,40
1783315433.767,smoke,1,0,,10.42,2405,40
1783315433.968,smoke,1,0,,10.42,2405,40
1783315434.169,smoke,1,0,,11.236,2411,40
1783315434.376,smoke,1,0,,11.236,2411,40
1783315434.586,smoke,50,0,,18.299,2470,44
1783315434.787,smoke,50,0,,18.299,2470,44
1783315434.988,smoke,50,0,,18.299,2470,44
1783315435.189,smoke,50,0,,29.073,2535,43
1783315435.391,smoke,50,0,,29.073,2535,43
1783315435.592,smoke,94,0,,35.642,2528,47
1783315435.793,smoke,94,0,,35.642,2528,47
1783315435.994,smoke,94,0,,35.642,2528,47
1783315436.195,smoke,94,0,,39.496,2528,47
1783315436.396,smoke,94,0,,39.496,2528,47
1783315436.597,smoke,95,0,,40.281,2528,47
1783315436.797,smoke,95,0,,40.281,2528,47
1783315436.998,smoke,95,0,,40.281,2528,47
1783315437.198,smoke,95,0,,40.996,2522,45
1783315437.399,smoke,95,0,,40.996,2522,45
1783315437.601,smoke,96,0,,41.444,2522,52
1783315437.802,smoke,96,0,,41.444,2522,52
1783315438.002,smoke,96,0,,41.444,2522,52
1783315438.203,smoke,96,0,,41.52,2522,49
1783315438.404,smoke,96,0,,41.52,2522,49
1783315438.605,smoke,0,0,,32.521,2483,42
1783315438.806,smoke,0,0,,32.521,2483,42
1783315439.006,smoke,0,0,,32.521,2483,42
1783315439.206,smoke,0,0,,17.428,2405,42
1783315439.406,smoke,0,0,,17.428,2405,42
1783315439.607,smoke,0,0,,10.485,2405,41
1783315439.807,smoke,0,0,,10.485,2405,41
1783315440.007,smoke,0,0,,10.485,2405,41
1783315440.208,smoke,0,0,,10.465,2405,41
1783315440.409,smoke,0,0,,10.465,2405,41
1783315440.609,smoke,0,0,,10.429,2405,41
1783315440.810,smoke,0,0,,10.429,2405,41
1783315441.010,smoke,0,0,,10.414,2405,41
1783315441.211,smoke,0,0,,10.414,2405,41
